id,name,genres,overview
247,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Animation, Action, Drama",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).
248,Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
249,The Sixth Sense,"Drama, Mystery, Thriller",A boy who communicates with spirits seeks the help of a disheartened child psychologist.
250,La leggenda del pianista sull'oceano,"Drama, Music, Romance","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land."
251,The Truman Show,"Comedy, Drama",An insurance salesman discovers his whole life is actually a reality TV show.
252,"Crna macka, beli macor","Comedy, Crime, Romance",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.
253,The Big Lebowski,"Comedy, Crime, Sport","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
254,Fa yeung nin wah,"Drama, Romance","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
255,Trainspotting,Drama,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
256,Fargo,"Crime, Drama, Thriller",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
257,Underground,"Comedy, Drama, War","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate."
258,La haine,"Crime, Drama",24 hours in the lives of three young men in the French suburbs the day after a violent riot.
259,Dilwale Dulhania Le Jayenge,"Drama, Romance","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
260,Before Sunrise,"Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
261,Trois couleurs: Rouge,"Drama, Mystery, Romance",A model discovers a retired judge is keen on invading people's privacy.
262,Chung Hing sam lam,"Comedy, Crime, Drama","Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents."
263,Jurassic Park,"Action, Adventure, Sci-Fi",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
264,In the Name of the Father,"Biography, Crime, Drama",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
265,Ba wang bie ji,"Drama, Music, Romance",Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.
266,Dà hóng denglong gaogao guà,"Drama, History, Romance","A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household."
267,Dead Poets Society,"Comedy, Drama",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
268,Stand by Me,"Adventure, Drama","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
269,Platoon,"Drama, War","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
270,"Paris, Texas",Drama,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family."
271,Kaze no tani no Naushika,"Animation, Adventure, Fantasy",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
272,The Thing,"Horror, Mystery, Sci-Fi",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
273,Pink Floyd: The Wall,"Drama, Fantasy, Music",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.
274,Fitzcarraldo,"Adventure, Drama","The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle."
275,Fanny och Alexander,Drama,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls."
276,Blade Runner,"Action, Sci-Fi, Thriller","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
277,The Elephant Man,"Biography, Drama","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
278,Life of Brian,Comedy,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
279,The Deer Hunter,"Drama, War",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
280,Rocky,"Drama, Sport",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
281,Network,Drama,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
282,Barry Lyndon,"Adventure, Drama, History",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
283,Zerkalo,"Biography, Drama","A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation."
284,Chinatown,"Drama, Mystery, Thriller","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
285,Paper Moon,"Comedy, Crime, Drama","During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
286,Viskningar och rop,Drama,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface."
287,Solaris,"Drama, Mystery, Sci-Fi",A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
288,Le samouraï,"Crime, Drama, Mystery",After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.
289,Cool Hand Luke,"Crime, Drama","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
290,Persona,"Drama, Thriller",A nurse is put in charge of a mute actress and finds that their personae are melding together.
291,Andrei Rublev,"Biography, Drama, History","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
292,La battaglia di Algeri,"Drama, War","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
293,El ángel exterminador,"Drama, Fantasy",The guests at an upper-class dinner party find themselves unable to leave.
294,What Ever Happened to Baby Jane?,"Drama, Horror, Thriller",A former child star torments her paraplegic sister in their decaying Hollywood mansion.
295,Sanjuro,"Action, Comedy, Crime","A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent."
296,The Man Who Shot Liberty Valance,"Drama, Western",A senator returns to a western town for the funeral of an old friend and tells the story of his origins.
297,Ivanovo detstvo,"Drama, War","In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers."
298,Jungfrukällan,Drama,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way."
299,Inherit the Wind,"Biography, Drama, History","Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution."
300,Les quatre cents coups,"Crime, Drama","A young boy, left without attention, delves into a life of petty crime."
301,Ben-Hur,"Adventure, Drama, History","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
302,Kakushi-toride no san-akunin,"Adventure, Drama","Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines."
303,Le notti di Cabiria,Drama,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
304,Kumonosu-jô,"Drama, History","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
305,The Bridge on the River Kwai,"Adventure, Drama, War","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it."
306,On the Waterfront,"Crime, Drama, Thriller",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
307,Le salaire de la peur,"Adventure, Drama, Thriller","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
308,Ace in the Hole,"Drama, Film-Noir","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus."
309,White Heat,"Action, Crime, Drama",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
310,The Third Man,"Film-Noir, Mystery, Thriller","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
311,The Red Shoes,"Drama, Music, Romance",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
312,The Shop Around the Corner,"Comedy, Drama, Romance","Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
313,Rebecca,"Drama, Mystery, Romance",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
314,Mr. Smith Goes to Washington,"Comedy, Drama","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
315,Gone with the Wind,"Drama, History, Romance",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
316,La Grande Illusion,"Drama, War","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
317,It Happened One Night,"Comedy, Romance","A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops."
318,La passion de Jeanne d'Arc,"Biography, Drama, History","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
319,The Circus,"Comedy, Romance",The Tramp finds work and the girl of his dreams at a circus.
320,Sunrise: A Song of Two Humans,"Drama, Romance",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.
321,The General,"Action, Adventure, Comedy","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
322,Das Cabinet des Dr. Caligari,"Fantasy, Horror, Mystery","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders."
323,Badhaai ho,"Comedy, Drama",A man is embarrassed when he finds out his mother is pregnant.
324,Togo,"Adventure, Biography, Drama","The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race."
325,Airlift,"Drama, History","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
326,Bajrangi Bhaijaan,"Action, Adventure, Comedy",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.
327,Baby,"Action, Crime, Thriller","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
328,La La Land,"Comedy, Drama, Music","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
329,Lion,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
330,The Martian,"Adventure, Drama, Sci-Fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
331,Zootopia,"Animation, Adventure, Comedy","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
332,Bãhubali: The Beginning,"Action, Drama","In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples."
333,Kaguyahime no monogatari,"Animation, Adventure, Drama","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
334,Wonder,"Drama, Family","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
335,Gully Boy,"Drama, Music, Romance",A coming-of-age story based on the lives of street rappers in Mumbai.
336,Special Chabbis,"Crime, Drama, Thriller",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.
337,Short Term 12,Drama,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
338,Serbuan maut 2: Berandal,"Action, Crime, Thriller","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
339,The Imitation Game,"Biography, Drama, Thriller","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians."
340,Guardians of the Galaxy,"Action, Adventure, Comedy",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
341,Blade Runner 2049,"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
342,Her,"Drama, Romance, Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
343,Bohemian Rhapsody,"Biography, Drama, Music","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
344,The Revenant,"Action, Adventure, Drama",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
345,The Perks of Being a Wallflower,"Drama, Romance",An introvert freshman is taken under the wings of two seniors who welcome him to the real world
346,Tropa de Elite 2: O Inimigo Agora é Outro,"Action, Crime, Drama","After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups."
347,The King's Speech,"Biography, Drama, History","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
348,The Help,Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
349,Deadpool,"Action, Adventure, Comedy","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
350,Darbareye Elly,"Drama, Mystery",The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
351,Dev.D,"Drama, Romance","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
352,Yip Man,"Action, Biography, Drama","During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
353,My Name Is Khan,Drama,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
354,Nefes: Vatan Sagolsun,"Action, Drama, Thriller",Story of 40-man Turkish task force who must defend a relay station.
355,Slumdog Millionaire,"Drama, Romance","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
356,Black Swan,"Drama, Thriller","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
357,Tropa de Elite,"Action, Crime, Drama","In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits."
358,The Avengers,"Action, Adventure, Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
359,Persepolis,"Animation, Biography, Drama",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
360,Dallas Buyers Club,"Biography, Drama","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
361,The Pursuit of Happyness,"Biography, Drama",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
362,Blood Diamond,"Adventure, Drama, Thriller","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
363,The Bourne Ultimatum,"Action, Mystery, Thriller",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
364,Bin-jip,"Crime, Drama, Romance",A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
365,Sin City,"Crime, Thriller","A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption."
366,Le scaphandre et le papillon,"Biography, Drama",The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.
367,G.O.R.A.,"Adventure, Comedy, Sci-Fi",A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
368,Ratatouille,"Animation, Adventure, Comedy",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
369,Casino Royale,"Action, Adventure, Thriller","After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
370,Kill Bill: Vol. 2,"Action, Crime, Thriller","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
371,Vozvrashchenie,Drama,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
372,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,"Drama, Romance",A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
373,Mar adentro,"Biography, Drama","The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die."
374,Cinderella Man,"Biography, Drama, History","The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s."
375,Kal Ho Naa Ho,"Comedy, Drama, Musical","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
376,Mou gaan dou,"Action, Crime, Drama","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop."
377,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
378,Big Fish,"Adventure, Drama, Fantasy",A frustrated son tries to determine the fact from fiction in his dying father's life.
379,The Incredibles,"Animation, Action, Adventure","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
380,Yeopgijeogin geunyeo,"Comedy, Drama, Romance","A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
381,Dogville,"Crime, Drama","A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
382,Vizontele,"Comedy, Drama",Lives of residents in a small Anatolian village change when television is introduced to them
383,Donnie Darko,"Drama, Mystery, Sci-Fi","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
384,Magnolia,Drama,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley."
385,Dancer in the Dark,"Crime, Drama, Musical","An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film."
386,The Straight Story,"Biography, Drama",An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
387,Pâfekuto burû,"Animation, Crime, Mystery","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
388,Festen,Drama,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
389,Central do Brasil,Drama,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew."
390,The Iron Giant,"Animation, Action, Adventure",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
391,Knockin' on Heaven's Door,"Action, Crime, Comedy","Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
392,Sling Blade,Drama,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
393,Secrets & Lies,"Comedy, Drama","Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London."
394,Twelve Monkeys,"Mystery, Sci-Fi, Thriller","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
395,Kôkaku Kidôtai,"Animation, Action, Crime",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
396,The Nightmare Before Christmas,"Animation, Family, Fantasy","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
397,Groundhog Day,"Comedy, Fantasy, Romance",A weatherman finds himself inexplicably living the same day over and over again.
398,Bound by Honor,"Crime, Drama","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
399,Scent of a Woman,Drama,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
400,Aladdin,"Animation, Adventure, Comedy",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
401,JFK,"Drama, History, Thriller",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
402,Beauty and the Beast,"Animation, Family, Fantasy",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
403,Dances with Wolves,"Adventure, Drama, Western","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military."
404,Do the Right Thing,"Comedy, Drama","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence."
405,Rain Man,Drama,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
406,Akira,"Animation, Action, Sci-Fi",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.
407,The Princess Bride,"Adventure, Family, Fantasy","While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
408,Der Himmel über Berlin,"Drama, Fantasy, Romance",An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.
409,Au revoir les enfants,"Drama, War","A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret."
410,Tenkû no shiro Rapyuta,"Animation, Adventure, Drama",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
411,The Terminator,"Action, Sci-Fi","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
412,Gandhi,"Biography, Drama, History",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
413,Kagemusha,"Drama, History, War",A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
414,Being There,"Comedy, Drama","A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics."
415,Annie Hall,"Comedy, Romance",Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.
416,Jaws,"Adventure, Thriller","When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
417,Dog Day Afternoon,"Biography, Crime, Drama","Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
418,Young Frankenstein,Comedy,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
419,Papillon,"Biography, Crime, Drama","A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape."
420,The Exorcist,Horror,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
421,Sleuth,"Mystery, Thriller","A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
422,The Last Picture Show,"Drama, Romance","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
423,Fiddler on the Roof,"Drama, Family, Musical","In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village."
424,Il conformista,Drama,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
425,Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
426,Rosemary's Baby,"Drama, Horror",A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.
427,Planet of the Apes,"Adventure, Sci-Fi","An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved."
428,The Graduate,"Comedy, Drama, Romance",A disillusioned college graduate finds himself torn between his older lover and her daughter.
429,Who's Afraid of Virginia Woolf?,Drama,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night."
430,The Sound of Music,"Biography, Drama, Family",A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
431,Doctor Zhivago,"Drama, Romance, War","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
432,Per un pugno di dollari,"Action, Drama, Western","A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
433,8½,Drama,A harried movie director retreats into his memories and fantasies.
434,Vivre sa vie: Film en douze tableaux,Drama,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
435,The Hustler,"Drama, Sport",An up-and-coming pool player plays a long-time champion in a single high-stakes match.
436,La dolce vita,"Comedy, Drama",A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.
437,Rio Bravo,"Action, Drama, Western","A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
438,Anatomy of a Murder,"Crime, Drama, Mystery","In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?"
439,Touch of Evil,"Crime, Drama, Film-Noir","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town."
440,Cat on a Hot Tin Roof,Drama,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
441,Sweet Smell of Success,"Drama, Film-Noir",Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
442,The Killing,"Crime, Drama, Film-Noir",Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.
443,The Night of the Hunter,"Crime, Drama, Film-Noir","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
444,La Strada,Drama,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way."
445,Les diaboliques,"Crime, Drama, Horror",The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.
446,Stalag 17,"Comedy, Drama, War","When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer."
