id,name,genres,overview
743,Hannibal,horror," Seven years after rescuing Jame Gumb's last victim, Clarice Starling witnesses her career crumble around her when a drug raid goes wrong and she kills an armed meth dealer named Evelda Drumgo, who was carrying her child at the time, in self-defense. Hannibal Lecter, who has been living in Florence, Italy, under an assumed name since escaping custody, sends her a letter of condolence and requests more information about her personal life. Desperate to catch Lecter, the FBI finds a use for Starling once again. She meets with Barney Matthews, former orderly of Baltimore State Hospital for the Criminally Insane. He tells her what Lecter said about her and that he said he would never go after him if he escaped. Meanwhile, Mason Verger, a wealthy, sadistic pedophile who was left horribly disfigured after a ""therapy session"" with Lecter, plans to get revenge by feeding Lecter to wild boars, using Starling as bait. He is aided by corrupt Justice Department agent Paul Krendler, Starling's personal nemesis. A disgraced Florentine detective, Rinaldo Pazzi, also pursues Lecter in the interests of collecting Verger's bounty on him. However, Lecter kills one of Pazzi's men and hangs Pazzi where his ancestor, Francesco de Pazzi, was hanged in 1478. Lecter waves at a camera, the footage of which is later seen by Verger. Lecter kills one of Verger's men and escapes to the United States, where he begins pursuing Starling. The novel briefly touches upon Lecter's childhood, specifically the death of his beloved younger sister, Mischa. The two were orphaned during World War II, and a group of German deserters found them on their family estate and took them prisoner. Lecter watched, helpless, as the deserters killed and ate Mischa. Barney briefly works for Verger, and gets acquainted with Verger's sister and bodyguard Margot, a lesbian bodybuilder whom Verger molested and raped as a child. Their friendship is briefly strained when he makes a pass at her, but they eventually reconcile, and Margot tells him that she stays in her hated brother's employment because she needs Mason's sperm to have a child with her partner, Judy. Lecter is captured by Verger's men, and Starling pursues them, determined to bring Lecter in herself. One of Verger's men is able to shoot her full of tranquilizer as she releases Lecter. The wild boars break through the barricade separating them from Lecter, but they lose interest in their intended prey when they smell no fear on him, instead going after Verger's men. In the confusion, Lecter carries the unconscious Starling to safety, and escapes with her. At the same time, Margot forcibly obtains Mason's sperm by sodomizing him with a cattle prod, and then kills him by shoving his pet Moray eel down his throat. Lecter, who had briefly treated Margot after her brother abused her, has urged her to blame the murder on him, which she does by leaving one of his hairs at the scene. Using a regimen of psychotropic drugs and behavioral therapy, Lecter attempts to brainwash Starling, hoping to make her believe she is Mischa, returned to life. She ultimately proves too strong, however, and tells him that Mischa will have to live on within him. Lecter kidnaps Krendler and lobotomizes him, and he and Starling dine on his still-living brain before killing him. The two then become lovers, and disappear together. Three years later, on July 9, 2000, Barney and his girlfriend go to Buenos Aires to see a Vermeer painting. At the opera, Barney spots Lecter and Starling; terrified, he flees with his girlfriend, reasoning that ""we can only see so much and live."""
744,The Haunted Mask,horror," Carly Beth Caldwell is an 11-year-old girl who is a target for pranks and practical jokes, some of which are played by Chuck Greene and Steve Boswell, two of her friends at Walnut Avenue Middle School. Before Halloween, she is humiliated after the two boys trick her into eating a sandwich that contains a living worm. Disgusted, she flees home and discovers her mother has made a plaster of Paris model of Carly Beth's head. On Halloween day, after frowning at the duck costume her mother gave to her, she goes to a party store and discovers a room filled with hideous masks. The store owner unwillingly sells her one of the masks and Carly Beth goes home. Later that day, after she takes the mold of her head that her mother made, she puts on the mask and goes in search of Chuck and Steve, determined to avenge herself against them. She starts acting differently: she chokes her best friend, Sabrina Mason, throws apples at a house and steals a bag of candy from a boy. While at Sabrina's house, Carly Beth is shocked to find she is physically unable to remove the mask and that the mask has, in fact, become her face. She returns to the store and finds the owner waiting for her. The store owner tells her that the mask is a real face and it can only be removed by a ""symbol of love"", but if it attaches itself to her or another person again, it will be forever. Carly Beth screams in horror, and the other masks begin to pursue her. While running away from the masks, she realizes that the mold her mother made is a symbol of love. Carly Beth finds the mold and uses it to deter the masks and remove the mask from her face. She returns home to her mother, tossing the mask away. Noah, Carly Beth's kid brother, later bursts in and asks her, ""How do I look in your mask?"""
745,The Visitation,horror," Centered around the life of Travis Jordan, The Visitation begins when miracles, ranging from a healing, weeping crucifix to sights of Jesus in the clouds, start occurring, giving way to the arrival of a man who calls himself Brandon Nichols. Nichols begins healing people; giving a man who lost the use of his legs in the Vietnam War the ability to walk, and performing various other ""healings"". Most of the townspeople — who are portrayed as disillusioned, post-Pentecostal farmers — begin to believe in Nichols as a Messiah. Brandon Nichols begins to hold ""revival meetings"" on a large ranch outside of town every Sunday, and many churchgoers in town stop going to Sunday morning mass/services and instead listen to Brandon talk and watch him ""heal"". It is at this point that Nichols arouses the ire of one of the local ministers, Kyle Sherman. Enlisting the help of Travis Jordan, he seeks to prove that the so-called Brandon Nichols is not in fact a ""better"" Christian Messiah, but a puffed-up egomaniac using occult powers. In the end, the team (along with the help of a few others) uncover a host of pseudonyms and a hefty helping of deception surrounding Nichols' past. Startling parallels are revealed with the life story of Travis Jordan, all of which come to light as the story progresses."
746,Thirsty,horror," The story is set in the town of, and in the areas surrounding, Bradley, Massachusetts. A Vampire Lord, Tch'muchgar, is magically imprisoned in isolation at the bottom of the town reservoir. The townsfolk performs rituals at the annual The Sad Festival] of Vampires to maintain the bonds holding Tch'muchgar prisoner. Early in the book the young hero, Chris, witnesses a vampiress being lynched]. Soon after, he starts to feel a strange sensation — a growing thirst for blood. Chris later notices that his friend Tom is casting a reflection on the water of the reservoir but Chris himself has no reflection. He realizes that he must be suffering from vampirism. Chris is afraid to tell anyone, even his friends, because vampires are killed immediately upon being discovered. Chris is soon confronted by a mysterious person dressed in black, who introduces himself as Chet the Celestial Being. Chet says that he serves the Forces of Light, and that he can cure Chris of his vampirism. But first Chet must place a holy object, The Arm of Moriator, with Tch'muchgar. Once activated, the Arm cannot be moved or deactivated by evil beings. Chet explains that if Tch'muchgar tries to escape from his prison, the Arm will cause him to become trapped between worlds, just like ""opening an elevator between floors"". Chet leaves for two weeks to retrieve the Arm. Meanwhile, Chris's vampirism grows at a steady rate. He starts sleeping during the day and staying awake at night. He drinks warm water to simulate drinking blood, and even considers his family as potential ""beverages"". Chris also begins receiving letters through mail from vampires living underground in the community. One of these letters is from a female vampire named Lolli, who appears to be Chris's age and behaves like a popular adolescent girl. Chris starts to notice he is being stalked by a creepy humanoid figure he describes as ""The Thing with the One-Piece Hair"", or simply The Thing. The Thing corners Chris in the woods, but Chet appears and ""kills"" The Thing. He warns Chris that The Thing is not really dead and will rematerialize within a few minutes. So Chet places a mark on Chris' wrist, which he said will protect him from the Thing. Chet gives Chris the Arm and bring him to a congregation of vampires in an abandoned church. Chris is accepted as a vampire by the others and learns that they plan to summon Tch'muchgar. He takes this opportunity to enter the realm of Tch'muchgar and drops the Arm. Chris returns to his ""normal"" life and waits for Chet to return with further instruction. His vampiric symptoms continue to grow. Crazed with thirst, Chris almost bites his friend's dog. He resorts to going hunting for raccoons to drink from. After he cuts himself shaving for the first time, Chris begins drinking his own blood. He eventually resorts to biting himself in the arm. One evening, his mother tells him a story about how Chris nearly died as a newborn, but that a strange nurse took him away for a few minutes. When she brought him back, he was fine. His mother believes that the woman was an angel. Chris fears that the nurse must have been a vampire who infected him with vampirism to save his life. At the Sad Festival of Vampires, Chris is talked into going to a party with Lolli and another young vampire called Bat. They tell him that to become initiated into the vampire community he must make his first kill that night and smear his blood on his cheeks. Chris shies away from the challenge, saying that he couldn't find anyone yet, but Lolli quickly calls his bluff. Chris escapes from the party and finds his crush, Rebecca Schwartz, in the area. He tells her that he needs to talk, but his teeth start to grow in bloodlust. Chris flees back to the vampire party, only to find that everyone save one high student has left. The student tells Chris that Lolli killed a student. Afterwards, she was hit by a car and broke her back. The authorities arrived and took her to be killed. Chris hears Bat coming, and runs outside. He meets Chet, who confirms the story about Lolli's death. Bat hears this and attacks Chet, but Chet makes Bat vanish with a wave of his hand, presumably killing him. At the climax of the story, Tch'muchgar attempts to leave his prison but is shoved out of the dimension and into nonexistence by the Arm of Moriator. Chet reveals that he was actually working for Tch'muchgar, who had realized that he would never escape his prison and was looking for a way to end his miserable life. He also taunts that he was lying about being able to help Chris, because vampirism is incurable. Chet gleefully points out to Chris that he is now doomed. If he kills mortals for blood, they will eventually hunt him down and execute him. If he refuses to drink blood, he will die. If he seeks help from the Forces of Light, they will torment him in place of the vampire lord. If he tries to get help from other vampires, they will kill him themselves for destroying their god. At the end of the story, in Chris's home, his mother is suspicious, and wants him to be tested for vampirism. His brother treats this with derision, but Chris wonders how his mother would react. He has a flashback to when he was young, that a mother bird would not take in her own child if it had been touched by a human; it would rather bash its skull in. The flashback ends with some older boys throwing stones at a hatchling, yelling ""This is mercy!"" with other children joining in. As the book ends, Chris's fate is uncertain, leaving the main plot of the book unresolved though Chris is certainly doomed either way. In the end, Chris realizes that he needs to feed, but he cannot feed. The story ends with the words, in this order: Oh God I am So Thirsty"
747,Little Things,horror," Ever since her mother's death, Buffy has been having problems keeping herself and Dawn living together peacefully, and the lack of money is affecting both of them. When Buffy suddenly develops an acute toothache, with no dental insurance, she can't afford to have it fixed. She must bear through the pain and keep it a secret from her friends while the town of Sunnydale becomes terrorized by miniature vampires. The miniature vampire fairies are led by Queen Mab who has come to Sunnydale with her troop in order to hunt down Anyanka. Back in the day, Anyanka was accidentally involved in turning these fairies into vampires and Queen Mab wants revenge on this act. Unfortunately, Buffy has to figure out how to kill vampires that are smaller than her palm."
748,The Dead Zone,horror," The prologue introduces the two main characters. In 1953, a young boy named Johnny Smith is knocked unconscious while ice-skating; while recovering he mumbles a strange message — ""Don't jump it no more"" — to an adult on the scene. The knot on Johnny's head fades after a few days, and he thinks no more of it. A few months later, the adult is seriously injured while jump starting a car battery. Two years later, in an unconnected incident in Iowa, a young door to door Bible salesman named Greg Stillson, suffering emotional issues and dreaming of greatness, vindictively kicks an aggressive dog to death. By 1970, Johnny is now a high school teacher in eastern Maine. After visiting a county fair with his girlfriend Sarah, and eerily winning repeatedly at the wheel of fortune, Johnny is involved in a car accident on his way home that lands him in a coma for five years. On waking, Johnny finds that he has suffered neural injury, but on touching people and objects he is able to tell them things they did not know - in this way he knows a nurse's son would have successful surgery, states that his doctor's mother, long believed dead, is living in Carmel, California, tells his Sarah that her lost wedding ring was in her suitcase pocket, and later recounts the story behind a St. Christopher medallion owned by a skeptical reporter. Johnny shrugs off local media reports of his supposed psychic talents and accepts an offer to resume teaching, but begins to suffer from severe headaches. A reporter for a national tabloid maliciously prints a story denouncing his clairvoyance as phony, but this brings Johnny relief and the hope he can resume a normal life - a hope broken when he is contacted by a local sheriff desperate to solve a series of murders, including that of a child. Johnny's extra sense provides enough detail to identify the killer, who commits suicide and leaves a confession. Stillson, now a successful businessman and elected mayor of Ridgeway, N.H., still suffers from his emotional problems. Asked to ""straighten out"" a friend's teenaged nephew for wearing an obscene t-shirt, he sets the shirt on fire and terrorizes the youth with a broken bottle, threatening to kill him if he tells anyone. In 1976 he decides to run an independent campaign for a seat in the House of Representatives, blackmailing a local businessman into raising funds for him. Johnny's offer to return to his teaching job is rescinded due to his being ""too controversial to be effective as a teacher"". He moves to New Hampshire and takes a job as tutor for a wealthy young man named Chuck. He also takes up an interest in politics, and becomes concerned when he watches a rally for Stillson. Later on, Johnny meets presidential candidate Jimmy Carter and shakes his hand. Having another clairvoyant incident, he tells Carter that he is going to be president. Johnny then makes a hobby out of meeting politicians to see their futures. Johnny attends a rally for Stillson and on touching his hand has a horrific vision of an older Stillson as President causing a massive, worldwide nuclear conflict. Johnny's health starts to worsen. He contemplates how he might prevent Stillson's presidency and compares the matter to the question whether one would kill Hitler in 1932 if time travel were possible. Eventually, he concludes that the only certain way to avoid the terrible future he has seen is to assassinate Stillson, but procrastinates, rationalizing his inaction because of doubt in the vision he has seen, abhorrence of murder, and belief there is no urgent need to act at the moment. As Johnny continues to contemplate the matter, he has another vision and warns Chuck not to go to his high school graduation party because the facility is going to be struck by lightning and burn down. Chuck's father agrees to host an alternative party for Chuck and other students, but their party at home is interrupted by news of a lighting strike and many deaths at the original venue. Johnny also learns that the FBI agent investigating Stillson has been murdered with a car bomb. Johnny moves to Phoenix, where he takes a job as a road maintenance technician for the local Public Works Department. He learns that his headaches and blackouts are due to a brain tumor and that without treatment he only has a few months left to live (although we do not learn this until the epilogue). Johnny takes the fire at the party as a warning, that he knew the fire would happen but had not taken it seriously enough and as a result people had died. Realizing that he won't live much longer whatever he decides, Johnny refuses surgery and buys a rifle to shoot Stillson at the next rally. At the rally, Stillson begins his speech and Johnny attempts to shoot Stillson, but misses and is wounded by Stillson's bodyguards. Before he can fire again Stillson grabs a young child and holds him up as a human shield. Johnny pauses, unable to shoot, and is shot twice by the bodyguards, falling off the balcony and fatally injuring himself. A bystander photographs Stillson in the act of using the child as a shield, a picture that it is implied destroys Stillson's political future when published. Dying, Johnny touches Stillson a final time but feels only dwindling impressions and knows that the terrible future Stillson would bring around as President has been prevented. An epilogue, ""Notes from the Dead Zone"", intersperses excerpts from letters from Johnny to his loves ones, a ""Q & A"" transcript of a purported Senate committee (chaired by real-life Maine Senator William Cohen) investigation of Johnny's attempt to assassinate Stillson, and a narrative of Sarah's visit to Johnny's grave. Sarah feels a brief moment of psychic contact with Johnny's spirit and drives away comforted."
749,Meg: A Novel of Deep Terror,horror," Jonas Taylor (1956-) is a deep sea diver working for the United States Navy on a top-secret dive in the Mariana Trench. He sees a megalodon, the ""Meg"" of the title, a massive ancient predator that is believed to be extinct. Because he is the only survivor he is disbelieved. He becomes a paleontologist and tries to prove that the megalodon is real, but is still considered a crackpot. An old friend, Masao Tanaka, asks him to go back and help recover a UNIS (Unmanned Nautical Informational Submersible), which helps predict earthquakes, from the Mariana Trench. Again, they encounter a megalodon in the depths: the species has indeed survived, but is trapped in the Mariana Trench due to the 'cold water barrier' (the bottom of the Trench is heated by geothermal ducts, keeping the water warm, but that warmth has limited range and the far colder water above it keeps the sharks trapped there as the cold water would apparently have highly negative effects on the giant sharks unless traversed properly). A male megalodon attacks them and kills Tanaka's son before being entangled in the metal ropes connecting the submarine to the ship, which start dragging the shark up. However, the male shark's vulnerable state prompts an even larger female megalodon to emerge and attack it, and as the female rips it apart, she is bathed in the shark's warm blood as she follows the entangled male upwards, the warm flood of liquid keeping the female protected from the cold water long enough for it to reach the warmer surface waters of the ocean, hence unleashing the megalodon anew on the ocean's ecosystem. It doesn't take long for the shark to pick up where it left off after it reaches the surface, as it starts killing and eating whales, and sometimes people, including Jonas's estranged wife, Maggie. To make matters worse, the female is pregnant and gives birth. Both are tracked, as Taylor and Tanaka wish to capture the creature. They manage to get the mother, but it breaks free and starts attacking boats in the area where it was captured. Taylor manages to kill the mother in the carnage by ramming a submersible down its throat, slicing his way through its inner body, and eventually cutting through its heart before escaping. Jonas also manages to capture the offspring of the meg, ending the novel."
750,Ghost Circles,horror," At the besieged fortress of Old Man's Cave, the Headmaster of the Veni Yan summons Wendell, the village tinsmith and explains how he believes the current unrest is not due to the Bones. He shows a medallion bearing the Harvestar family crest; a crown with a star above it. Thorn, he explains, may in fact be the ""one who bears the star"" The Hooded One has been seeking. Just then, the mountain erupts as the Lord of the Locusts stirs beneath it. The armies massed outside the fortress begin their attack. At this moment, the Lord of the Locust resurrects his servant Briar, and sends her off to ""seek out our missing powers and return them to us"". The Bones, Thorn and Gran'ma Ben flee the collapsing mountain. Fone Bone and Smiley lead them to the tunnel they used to escape from Roque Ja. As they descend through the tunnel, Fone warns everyone that they will probably start hallucinating again, just as they did the last time they passed through there. Sure enough, Fone and Phoney become Ishmael and Captain Ahab from Fone's favorite book, Moby-Dick. They stagger on to the tunnel exit and find the valley on the other side turned into a wasteland, covered in ash and every tree flattened. The Bones, Thorn and Gran'ma Ben make their way across the devastated valley. Thorn leads them as she is the only one who can see and avoid the Ghost Circles, invisible pockets of unreality where nothing can live, and that separate the true, intact valley from the illusory wasteland. She and Fone brush the periphery of one, and are momentarily transported back into the forest as it stood before the devastation of the valley. Thorn explains that she can survive it, and maybe even undo the spell, because she tore off a piece of the Lord of the Locust's soul when it tried to possess her, thus inheriting some of its power. Thorn and Gran'ma Ben remain undecided whether to return to Old Man's Cave or press on to the old capital, Atheia. A troop of Rat Creatures makes that decision for them, blocking the route to Old Man's Cave. A scout party of Rat Creatures discovers their camp and Thorn and Fone get separated from the others. As Ben fights off some of the Rat Creatures, Bartleby, the Rat Creature cub, returns. Meanwhile Thorn and Fone discover Briar is the one leading the Rat Creatures to them. She reveals to Fone Bone that he too has a piece of the Lord of the Locusts' soul inside him (a result of his and Thorn's stumbling into a Ghost Circle). Briar is about to kill Thorn, who is no longer necessary to her plans, when Smiley and Bartleby come charging to the rescue. With the piece of the Locust inside her, Thorn grows weaker by the minute. With Fone and Gran'ma Ben carrying Thorn, the party makes its way gingerly through the Dragon burial grounds of Tanen Gard, ever wary of rousing the Dragons. A bottomless pit crossed only by a steep and narrow rock bridge lies ahead. As they clamber to safety, Thorn begins to revive, the purity of the sacred ground healing her. They soon reach the ridge and find the valley beyond clear of the devastation of the Ghost Circles. The presence of Prayer Stones, idols left by Atheians for the Dragons, shows that the Old Kingdom is still alive. As they make their way towards the city of Atheia, a small, lone Locust is seen resting on one of the prayer stones. At Old Man's Cave the villagers demand of the Veni Yan that they release Lucius, planning to head for the Old Kingdom themselves. The Veni Yan initially try to stop them, but a heartfelt speech from Lucius convinces them to accompany his party. It is at this time the veni-yan take off their hoods, indicating that they too want the old kingdom back, hence they do not need to go into hiding, or underground."
751,House of Leaves,horror," House of Leaves begins with a first-person narrative by Johnny Truant, a Los Angeles tattoo parlor employee and professed unreliable narrator. Truant is searching for a new apartment when his friend Lude tells him about the apartment of the recently deceased Zampanò, a blind, elderly man who lived in Lude's building. In Zampanò's apartment, Truant discovers a manuscript written by Zampanò that turns out to be an academic study of a documentary film called The Navidson Record, though Truant says he can find no evidence that the film ever existed. The rest of the novel incorporates several narratives, including Zampanò's report on the fictional film; Truant's autobiographical interjections; a small transcript of part of the film from Navidson's brother, Tom; a small transcript of interviews of many people regarding The Navidson Record by Navidson's wife, Karen; and occasional brief notes by unidentified editors, all woven together by a mass of footnotes. There is also another narrator, Truant's mother, whose voice is presented through a self-contained set of letters titled The Whalestoe Letters. Each narrator's text is printed in a distinct font, making it easier for the reader to follow the occasionally challenging format of the novel (Truant in Courier New in the footnotes, and the main narrative in Times New Roman in the American version). Zampanò's narrative deals primarily with the Navidson family: Will Navidson, a photojournalist (partly based on Kevin Carter), his partner, Karen Green, an attractive former fashion model, and their two children, Chad and Daisy. Navidson's brother, Tom, and several other characters also play a role later in the story. The Navidson family has recently moved into a new home in Virginia. Upon returning from a trip to Seattle, the Navidson family discovers a change in their home. A closet-like space shut behind an undecorated door appears inexplicably where previously there was only a blank wall. A second door appears at the end of the closet, leading to the children's room. As Navidson investigates this phenomenon, he finds that the internal measurements of the house are somehow larger than external measurements. Initially there is less than an inch of difference, but as time passes the interior of the house is found to be seemingly expanding, while maintaining the same exterior proportions. A third change asserts itself: a dark, cold hallway in their living room wall that, physically, should extend out into their yard, but does not. Navidson films this strange place, looping around the outside of the house to show where the space should be and clearly is not. The filming of this anomaly comes to be referred to as ""The Five and a Half Minute Hallway"". This hallway leads to a maze-like complex, starting with a large room (the ""Anteroom""), which in turn leads to a truly enormous space (the ""Great Hall""), a room primarily distinguished by an enormous spiral staircase which appears, when viewed from the landing, to spiral down without end. There is also a multitude of corridors and rooms leading off from each passage. All of these rooms and hallways are completely unlit and featureless, consisting of smooth ash-gray walls, floors, and ceilings. The only sound disturbing the perfect silence of the hallways is a periodic low growl, the source of which is never fully explained, although an academic source ""quoted"" in the book hypothesizes that the growl is created by the frequent re-shaping of the house. There is some discrepancy as to where ""The Five and a Half Minute Hallway"" appears. It is quoted by different characters at different times to have been located in each of the cardinal directions. This first happens when Zampanò writes that the hallway is in the western wall (House of Leaves 57), directly contradicting an earlier page where the hallway is mentioned to be in the northern wall (House of Leaves 4). Johnny's footnotes point out the contradiction. Navidson, along with his brother Tom and some colleagues, feel compelled to explore, photograph, and videotape the house's seemingly endless series of passages, eventually driving various characters to insanity, murder, and death. Ultimately, Will releases what has been recorded and edited as The Navidson Record. Will and Karen purchased the house because their relationship was becoming strained with Will's work-related absences. While Karen was always adamantly against marriage (claiming that she valued her freedom above anything else), she always found herself missing and needing Will when he was gone: ""And yet even though Karen keeps Chad from overfilling the mold or Daisy from cutting herself with the scissors, she still cannot resist looking out the window every couple of minutes. The sound of a passing truck causes her to glance away"" (House of Leaves 11–12). Zampanò's narrative is littered with all manner of references, some quite obscure, others indicating that the Navidsons' story achieved international notoriety. Luminaries such as Stephen King, Stanley Kubrick, Douglas Hofstadter, Ken Burns, Harold Bloom, Camille Paglia, Hunter Thompson, Anne Rice, and Jacques Derrida were apparently interviewed as to their opinions about the film. However, when Truant investigates, he finds no history of the house, no evidence of the events experienced by the Navidsons, and nothing else to establish that the house or film ever existed anywhere other than in Zampanò's text. Many of the references in Zampanò's footnotes, however, are real—existing both within his world and our world outside the novel. For example, several times Zampanò cites an actual Time-Life book, Planet Earth: Underground Worlds (House of Leaves 125). An adjacent story line develops in Johnny's footnotes, detailing what is progressing in Johnny's life as he is assembling the narrative. It remains unclear if Johnny's obsession with the writings of Zampanò and subsequent delusions, paranoia, etc. are the result of drug use, insanity, or the effects of Zampanò's writing itself. Johnny recounts tales of his various sexual encounters, his lust for a tattooed stripper he calls Thumper, and his bar-hopping with Lude throughout various footnotes. The reader also slowly learns more about Johnny's childhood living with an abusive foster father, engaging in violent fights at school, and of the origin of Johnny's mysterious scars (House of Leaves, p.&nbsp;505). More information about Johnny can be gleaned from the Whalestoe Letters, letters his mother Pelafina wrote from The Three Attic Whalestoe Institution. Though Pelafina's letters and Johnny's footnotes contain similar accounts of their past, their memories also differ greatly at times, due to both Pelafina's and Johnny's questionable mental states. Pelafina was placed in the mental institution after supposedly attempting to strangle Johnny, only to be stopped by her husband. She remained there after Johnny's father's death. Johnny claims that his mother meant him no harm and claimed to strangle him only to protect him from missing her, etc. It is unclear, however, if Johnny's statements about the incident—or any of his other statements, for that matter—are factual. This story is included in an appendix near the end of the book, as well as in its own, self-contained book (with additional content included in the self-contained version). It consists of Johnny's mother's letters to him from a psychiatric hospital. The letters start off fairly normal but Pelafina quickly descends into paranoia and the letters become more and more incoherent. There are also secret messages in the letters which can be decoded by combining the first letters of consecutive words."
752,Undead and Unappreciated,horror," The novel has two prologues. The first prologue relates how the devil, out of boredom, possessed a ""not very nice"" woman and gave birth to a daughter; however, the devil soon returned to Hell, since she preferred it to living with a newborn. The devil's daughter, Laura, was given up for adoption by her biological mother, Antonia, for whom the possession was like a fugue state. Ironically, Laura is adopted by a Presbyterian minister and his wife, the Goodmans. The second prologue introduces the recently turned vampire Betsy Taylor, the heroine of the Undead series of paranormal romance novels, as she crashes a meeting of Alcoholics Anonymous, where she hopes to learn techniques to control her thirst for blood. The two prologues are related because Laura is Betsy's half-sister, sharing the same father; the not-very-nice Antonia is Betsy's stepmother. This third novel of the series has thirty-five chapters and, as usual, is told from the point of view of Betsy (first-person narrative). The early chapters introduce Betsy, who has become the Queen of the Vampires through odd circumstances, and her circle of friends/roommates. Her best friend is the very cool and very wealthy Jessica, whom she's known since the seventh grade; Jessica is patient with Betsy and supportive. Another close friend and confidante is Marc Spangler, an emergency-ward physician. Other major human characters include Betsy's father and stepmother Antonia (""the Ant""), who are expecting a baby, Betsy's professor mom Elise (a Civil War historian) and a policeman, Nick Berry. On the vampire side, Betsy is betrothed to the earnest Eric Sinclair, now King of the Vampires; although Eric is smitten with her, Betsy is not enthusiastic. The novel is framed by a minor story, a wedding between a vampire and a human, Andrea Mercer and Daniel Harris, who are friends with Betsy. Such marriages are almost unheard-of because vampires had traditionally viewed human beings as ""sheep"", that is, as food rather than romantic partners. In an early chapter, Betsy is asked to preside at the wedding; she does so in the final chapter, quoting from Romeo and Juliet: ""what love can do, that dares love attempt"". Throughout the novel, Betsy reminds herself that she needs to prepare for the wedding; Betsy's distractions are also highlighted by noting when she forgets about the upcoming wedding. The plot begins in earnest when Betsy receives a non-invitation to her stepmother's baby shower; the shower is scheduled for daylight hours, making it impossible for vampires to attend. To reinforce the snub, Betsy's weak-willed father visits Betsy at home to ask her to stay away, where he lets slip that the new baby is Antonia's second child. Betsy and her friends confirm this revelation from Antonia herself, who describes unwillingly how she woke up with no memories of the preceding ten months, and dropped the baby girl, Laura, off at the hospital. Much of the novel revolves around the search for Laura and getting to know her. Laura turns out to be a beautiful but bashful girl just beginning college, and eager to do the right thing for everyone. She's very sweet-natured and wholesome, always seeking peaceful solutions, and making friends with everyone, even people with difficult tempers. Getting to know Laura, Betsy likes her (although she envies her beauty) and can't bring herself to tell her about her sordid vampiric life or that Laura herself is the ""spawn of Satan"" and destined to conquer the world. Before finding Laura, Betsy is frustrated by not knowing enough and resolves to read the Book of the Dead, a holy relic for vampires analogous to the Bible. The Book was written by an insane vampire who could see the future; unfortunately, it also drives anyone reading it insane. Throwing caution to the wind, Betsy reads the Book for several hours. The Book describes Betsy's ascension to Queen of the Vampires and her marriage to Eric, and also predicts that her half-sister Laura is fated to take over the world. Unfortunately, the book drives Betsy insane or, rather, changes her into a traditionally thinking vampire, as shown by the novel's first-person perspective. In that state, she attacks her human friends Jessica and Marc, indulges unbridled passions with her consort Eric, and tries to kill his vampire assistant Tina, who defeats her handily. She wakes up with a bruised head, a recovered sanity and much remorse – and also a new power, to awaken before sunset, which she uses to take Laura to Antonia's baby shower, so that Laura can meet her birth mother. Throughout the remainder of the novel, she tries to recover her friends' trust, particularly Jessica's, and also make amends with Eric. The novel's climax occurs in a nightclub, Scratch. Betsy inherited the club, but the vampire staff are unhappy with her non-traditional changes, including not allowing them to drink blood from humans or kill them. The staff form a union and strike to demand better ""working conditions"". As their bargaining chip, the staff kidnap Betsy's half-sister Laura, mistaking her for an ordinary human girl. Unfortunately for them, they handle her too roughly and, despite her dislike of violence, Laura begins killing them with weapons formed from hellfire. Eric joins them and the three together win the fight with the vampires. Laura reveals that she'd known all along about Betsy and about herself, but she was waiting for Betsy to trust her enough. Laura is convinced that she can overcome her demonic heritage and be a good person, although she also displays a touch of temper. Later, Betsy meets the Devil herself—resembling a wonderfully dressed Lena Olin—who reveals that Laura will indeed take over the world. The novel is also marked by several minor stories that contribute to characterizing Betsy and her friends. It opens with a semi-serious discussion between Marc and Betsy about his recovery from alcoholism. Also near the beginning, Eric and his long-time assistant Tina return from a trip to Europe; Eric gives Betsy a little shoe necklace, playing on Betsy's well-known weakness for shoes and characterizing how much he cares for her. Betsy's compassion is highlighted by her treatment of ""George"", one of the Fiends she inherited from another vampire vanquished in an earlier novel. Fiends are vampires that have been driven insane, unable to speak or reason, by denying them blood. Most of the Fiends are being tended to by Betsy's vampire friend Alice, but George continually escapes and makes his way to Betsy's house. Betsy begins to feed him her own blood, and George begins to recover his sanity by learning to crochet."
753,Island,horror," The novel is structured as a series of journal entries made by Rupert, a young man who finds himself stranded on an island in the Bahamas (along with six other people) when their yacht mysteriously explodes. After an ax-wielding maniac claims the lives of two of the castaways, Rupert and the other survivors are forced to try and outwit the mysterious killer in order to save their lives. Since the concept of the novel is that Rupert is making his journal entries as events happen (with no knowledge as to how future developments in the ""plot"" will unfold), the reader is left uncertain as to whether any of the book's characters, including Rupert himself, will survive (unlike most first-person narratives, where the survival of the narrator, at least, tends to be a foregone conclusion). The novel plays with these expectations at several points, with Rupert's life constantly being in danger right alongside those of his compatriots."
754,Chase,horror," Chase is the story about Benjamin Chase. ""Bejamin Chase is a retired war hero living in an attic apartment. He is struggling with a drinking habit. One night he rescues a young woman from an obsessed killer. As a result, the killer has changed his target to Chase. He begins phoning Chase and warning that he is out for revenge. The killer, simply named ""The Judge"" is threatening to kill Chase but the police don't believe him as he has a history of alcohol-related incidents. Chase is forced to take matters into his own hands and attempts to unmask The Judge himself and end the threat of a vengeful lunatic."""
